advancement_rating,compensation_rating,culture_rating,first_category,first_category_name,management_rating,overall,second_category,second_category_name,type,worklife_balance_rating
3.03,2.83,2.95,0,전체,2.57,3.06,,,default,2.83
2.86,2.48,2.81,100,서비스업,2.61,2.89,,,company_category_100,2.79
3,2.63,2.77,200,제조/화학,2.55,2.94,,,company_category_200,2.78
3.08,2.63,2.82,300,의료/제약/복지,2.6,3.01,,,company_category_300,2.96
3.02,2.66,2.88,400,판매유통,2.65,3.02,,,company_category_400,2.94
2.99,2.62,2.95,500,교육업,2.66,3.09,,,company_category_500,3.04
3.01,2.52,2.85,600,건설업,2.6,2.88,,,company_category_600,2.73
3.05,2.65,3.05,700,IT/웹/통신,2.62,3.06,,,company_category_700,2.99
3.06,2.51,2.98,800,미디어/디자인,2.64,3.01,,,company_category_800,2.71
3.13,3.04,2.99,900,은행/금융업,2.82,3.16,,,company_category_900,3.03
3.06,2.73,3.11,1000,기관/협회,2.77,3.2,,,company_category_1000,3.18
2.8,2.32,2.68,100,서비스업,2.42,2.72,101,호텔/여행/항공,company_category_101,2.62
2.86,2.36,2.69,100,서비스업,2.61,2.88,102,외식업/식음료,company_category_102,2.43
2.69,2.15,2.62,100,서비스업,2.31,2.69,103,웨딩/장례/이벤트,company_category_103,2.38
2.93,2.89,3.26,100,서비스업,2.85,3.07,104,AS/카센터/주유,company_category_104,3.33
4.5,3,3.5,100,서비스업,3,4,105,뷰티/미용,company_category_105,3.5
2.88,2.57,2.81,100,서비스업,2.76,2.98,106,시설관리/경비/용역,company_category_106,2.94
2.9,2.4,3.08,100,서비스업,2.5,2.9,107,레저/스포츠/여가,company_category_107,2.77
2.94,2.75,3,100,서비스업,2.63,2.94,108,렌탈/임대,company_category_108,3.19
2.81,2.81,3.06,100,서비스업,2.88,3.19,109,기타서비스업,company_category_109,3.19
2.92,2.54,2.73,200,제조/화학,2.46,2.92,201,전기/전자/제어,company_category_201,2.77
3.06,2.71,2.82,200,제조/화학,2.55,2.96,202,석유/화학/에너지,company_category_202,2.89
3.04,2.63,2.78,200,제조/화학,2.6,3,203,시품가공/개발,company_category_203,2.82
3.05,2.77,2.89,200,제조/화학,2.69,2.94,204,반도체/광학/LCD,company_category_204,2.88
3.04,2.55,2.75,200,제조/화학,2.61,2.98,205,섬유/의류/패션,company_category_205,2.71
3.25,2.5,3.21,200,제조/화학,2.5,2.92,206,환경,company_category_206,2.96
2.86,2.86,2.57,200,제조/화학,2.71,3.36,207,농업/어업/광업/임업,company_category_207,2.93
2.97,2.64,2.75,200,제조/화학,2.53,2.88,208,기계/설비/자동차,company_category_208,2.67
2.92,2.68,2.9,200,제조/화학,2.65,2.84,209,가구/목재/제지,company_category_209,2.81
3.29,2.76,2.82,200,제조/화학,2.38,2.97,210,조선/항공/우주,company_category_210,2.76
3.25,2,2.5,200,제조/화학,2.88,2.75,211,화장품/뷰티,company_category_211,2.88
2.94,2.65,2.7,200,제조/화학,2.52,2.98,212,금속/재료/철강/요업,company_category_212,2.86
2.96,2.39,2.74,200,제조/화학,2.43,3.04,213,생활용품/소비재/사무,company_category_213,2.48
3.19,2.7,2.94,200,제조/화학,2.81,3.23,214,기타제조업,company_category_214,3.17
3.04,2.53,2.76,300,의료/제약/복지,2.57,2.94,301,의료,company_category_301,2.88
3.11,2.9,2.87,300,의료/제약/복지,2.62,3.1,302,제약/보건/바이오,company_category_302,3.08
3.45,2.64,3.32,300,의료/제약/복지,2.91,3.5,303,사회복지,company_category_303,3.32
2.94,2.64,2.92,400,판매유통,2.65,3.03,401,판매유통,company_category_401,2.81
